ID,W8,starttime,endtime,pi1grid21,pi1a21,pi1b21,pi1c21,likelihood,senvote,senvote_other,plaidMotivation,reformMotivation,E_grid,E_grid_1,E_grid_2,E_grid_3,age,profile_gender,profile_socialgrade_cie,profile_education_level,media_source_main,ethnicity_new,profile_religion,profile_work_stat,NSsec_census_15categories,NSsec_census_9categories,profile_gross_household,profile_gross_personal,senedd_vote_2021,pcon_may24,profile_oslaua
11,2.252879811,28-Nov-2025 17:26:13.17,28-Nov-2025 17:38:54.93,1,Fairly interested,Fairly interested,Not very interested,0 – Certain NOT to vote,Would not vote,,,,1,1,10 – Very strongly,0 – Not at all,57,Male,E,"CSE grade 1, GCE O level, GCSE, School Certificate",None of the above,English / Welsh / Scottish / Northern Irish / British,Yes - Other,Not working,L14: Never worked and long-term unemployed,L14.1 and L14.2 Never worked and long-term unemployed,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","No, I did not",Aberafan Maesteg,Bridgend
12,.740263796,26-Nov-2025 10:41:42.44,26-Nov-2025 12:05:24.58,1,Fairly interested,Fairly interested,Fairly interested,9,Welsh Labour,,,,1,8,10 – Very strongly,4,77,Male,D,"CSE grade 1, GCE O level, GCSE, School Certificate",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L7: Intermediate occupations,L7 Intermediate occupations,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","Yes, I did",Gower,Swansea
13,.302596301,1-Dec-2025 16:31:58.07,1-Dec-2025 16:43:59.73,1,Fairly interested,Fairly interested,Fairly interested,9,Welsh Liberal Democrat,,,,1,8,9,0 – Not at all,77,Male,B,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A news app on a mobile or tablet device,English / Welsh / Scottish / Northern Irish / British,Yes - Other,Retired,L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£35,000 to £39,999 per year","£40,000 to £44,999 per year","Yes, I did",Swansea West,Swansea
14,.626104678,30-Nov-2025 16:34:08.81,30-Nov-2025 16:49:54.84,1,Not very interested,Not at all interested,Not very interested,10 – Absolutely certain to vote,Reform UK,,,At least it’s something new and they can’t make a worse mess than anyone else,1,10 – Very strongly,0 – Not at all,8,74,Male,C2,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Television,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L9: Own account workers,L8 and L9 Small employers and own account workers,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","Yes, I did",Clwyd East,Denbighshire
15,.591236996,2-Dec-2025 13:33:58.47,2-Dec-2025 13:56:34.98,1,Not very interested,Not very interested,Not very interested,10 – Absolutely certain to vote,Reform UK,,,Nigel Farage is the only leader who understands ordinary people’s problems,1,10 – Very strongly,7,5,80,Male,C1,No formal qualifications,Television,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L6: Higher supervisory occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£40,000 to £44,999 per year","£40,000 to £44,999 per year","Yes, I did",Caerfyrddin,Carmarthenshire
16,.580519874,24-Nov-2025 17:00:53.62,24-Nov-2025 17:14:02.27,1,Fairly interested,Not very interested,Fairly interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,8,0 – Not at all,0 – Not at all,77,Male,C2,City & Guilds certificate,A newspaper's website,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L11: Lower technical occupations,L10 and L11 Lower supervisory and technical occupations,"£15,000 to £19,999 per year","£10,000 to £14,999 per year","Yes, I did",Wrexham,Wrexham
17,5.587078426,6-Dec-2025 07:28:17.45,6-Dec-2025 07:36:05.35,1,Not at all interested,Not at all interested,Not at all interested,10 – Absolutely certain to vote,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,6,8,5,41,Male,C2,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",A news app on a mobile or tablet device,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working full time (30 or more hours per week),L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£25,000 to £29,999 per year","£25,000 to £29,999 per year","Yes, I did",Ceredigion Preseli,Ceredigion
18,.810662908,3-Dec-2025 10:07:23.01,3-Dec-2025 10:27:46.75,1,Fairly interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Welsh Liberal Democrat,,,,1,9,10 – Very strongly,0 – Not at all,68,Male,C2,"CSE grade 1, GCE O level, GCSE, School Certificate",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Methodist,Retired,L6: Higher supervisory occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations",Prefer not to answer,Prefer not to answer,"Yes, I did",Cardiff East,Cardiff
19,.764940391,29-Nov-2025 09:29:34.96,29-Nov-2025 09:39:59.57,1,Fairly interested,Fairly interested,Not very interested,10 – Absolutely certain to vote,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,0 – Not at all,10 – Very strongly,0 – Not at all,38,Female,C1,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Social network websites,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working part time (8-29 hours a week),L5: Lower managerial and administrative occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£40,000 to £44,999 per year","£20,000 to £24,999 per year","Yes, I did",Caerfyrddin,Carmarthenshire
20,.569574176,28-Nov-2025 13:41:14.89,28-Nov-2025 13:50:34.64,1,Not very interested,Not very interested,Not very interested,9,Welsh Conservative,,,,1,8,7,0 – Not at all,75,Male,B,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Television,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L7: Intermediate occupations,L7 Intermediate occupations,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","Yes, I did",Cardiff North,Cardiff
21,1.185154261,2-Dec-2025 19:49:08.19,2-Dec-2025 20:00:06.68,1,Not at all interested,Not at all interested,Not at all interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,6,0 – Not at all,8,71,Female,C1,"CSE grade 1, GCE O level, GCSE, School Certificate",None of the above,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L5: Lower managerial and administrative occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£10,000 to £14,999 per year",Prefer not to answer,"Yes, I did",Torfaen,Torfaen
22,.653489456,28-Nov-2025 20:00:22.87,28-Nov-2025 20:29:09.14,1,Not very interested,Not at all interested,Not at all interested,10 – Absolutely certain to vote,Reform UK,,,Nigel Farage is the only leader who understands ordinary people’s problems,1,9,6,7,65,Male,B,ONC,Television,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working full time (30 or more hours per week),L7: Intermediate occupations,L7 Intermediate occupations,"£25,000 to £29,999 per year","£20,000 to £24,999 per year","Yes, I did",Ynys Mon,Isle of Anglesey
23,.700959216,1-Dec-2025 00:07:23.76,1-Dec-2025 00:16:33.85,1,Not very interested,Not at all interested,Not very interested,10 – Absolutely certain to vote,Welsh Conservative,,,,1,10 – Very strongly,0 – Not at all,10 – Very strongly,43,Female,C1,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Social network websites,English / Welsh / Scottish / Northern Irish / British,Prefer not to say,Working part time (8-29 hours a week),L7: Intermediate occupations,L7 Intermediate occupations,Prefer not to answer,Prefer not to answer,"Yes, I did",Mid and South Pembrokeshire,Pembrokeshire
24,.441210757,1-Dec-2025 11:49:25.12,1-Dec-2025 12:04:09.26,1,Very interested,Very interested,Very interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,10 – Very strongly,10 – Very strongly,0 – Not at all,66,Female,A,University diploma,Social network websites,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations",Don't know,Don't know,"No, I did not",Llanelli,Carmarthenshire
25,.7095924139999999,30-Nov-2025 11:50:10.26,30-Nov-2025 12:53:37.66,1,Very interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Welsh Labour,,,,1,10 – Very strongly,10 – Very strongly,0 – Not at all,73,Male,A,"Other technical, professional or higher qualification",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L2: Higher managerial and administrative occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£100,000 to £149,999 per year","£70,000 to £99,999 per year","Yes, I did",Vale of Glamorgan,The Vale of Glamorgan
26,.379724545,7-Dec-2025 10:41:47.77,7-Dec-2025 10:59:06.51,1,Very interested,Fairly interested,Very interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,8,10 – Very strongly,0 – Not at all,67,Male,A,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L5: Lower managerial and administrative occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£70,000 to £99,999 per year","£70,000 to £99,999 per year","No, I did not",Dwyfor Meirionnydd,Gwynedd
27,.228984743,28-Nov-2025 12:25:19.51,28-Nov-2025 12:36:48.64,1,Very interested,Very interested,Fairly interested,10 – Absolutely certain to vote,Don't know,,,,1,10 – Very strongly,8,4,70,Female,A,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Social network websites,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L5: Lower managerial and administrative occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£25,000 to £29,999 per year","£25,000 to £29,999 per year","Yes, I did",Cardiff South and Penarth,Cardiff
28,.538757474,2-Dec-2025 10:34:51.45,2-Dec-2025 10:42:01.24,1,Not very interested,Not at all interested,Not very interested,8,Don't know,,,,1,10 – Very strongly,10 – Very strongly,0 – Not at all,68,Female,A,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Radio,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations",Prefer not to answer,Prefer not to answer,"Yes, I did",Gower,Swansea
29,1.628325064,25-Nov-2025 16:41:10.52,25-Nov-2025 16:52:56.21,1,Fairly interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,3,10 – Very strongly,0 – Not at all,62,Female,C1,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",A news website not associated with a newspaper,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Other,L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations",Prefer not to answer,"under £5,000 per year","Yes, I did",Merthyr Tydfil and Aberdare,"Rhondda, Cynon, Taff"
30,.3651431,7-Dec-2025 10:49:51.07,7-Dec-2025 11:06:17.25,1,Fairly interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Plaid Cymru,,They are best placed to stop Reform UK,,1,9,4,6,73,Female,C1,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£20,000 to £24,999 per year","£15,000 to £19,999 per year","Yes, I did",Newport East,Newport
31,.651573705,24-Nov-2025 16:33:01.15,24-Nov-2025 16:49:53.09,1,Fairly interested,Not very interested,Not very interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,10 – Very strongly,0 – Not at all,3,68,Male,C1,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A newspaper's website,Prefer not to say,Yes - Other,Working full time (30 or more hours per week),L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£70,000 to £99,999 per year","£50,000 to £59,999 per year","Yes, I did",Newport East,Newport
32,.697457388,28-Nov-2025 17:12:10.17,28-Nov-2025 17:49:27.37,1,Very interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Welsh Conservative,,,,1,10 – Very strongly,7,7,41,Female,C1,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,Yes - Baptist,Working full time (30 or more hours per week),L8: Employers in small establishments,L8 and L9 Small employers and own account workers,"£45,000 to £49,999 per year","£15,000 to £19,999 per year","Yes, I did",Gower,Swansea
33,1.296466146,30-Nov-2025 15:54:14.39,30-Nov-2025 17:30:21.23,1,Not very interested,Not at all interested,Fairly interested,10 – Absolutely certain to vote,Reform UK,,,Nigel Farage is the only leader who understands ordinary people’s problems,1,10 – Very strongly,7,0 – Not at all,56,Male,D,"CSE grade 1, GCE O level, GCSE, School Certificate",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working full time (30 or more hours per week),L12: Semi-routine occupations,L12 Semi-routine occupations,"£50,000 to £59,999 per year","£45,000 to £49,999 per year","Yes, I did",Rhondda and Ogmore,"Rhondda, Cynon, Taff"
34,.512457587,1-Dec-2025 12:27:38.69,1-Dec-2025 13:00:34.64,1,Fairly interested,Fairly interested,Fairly interested,9,Welsh Labour,,,,1,10 – Very strongly,0 – Not at all,2,66,Male,E,"CSE grade 1, GCE O level, GCSE, School Certificate",A news website not associated with a newspaper,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L14: Never worked and long-term unemployed,L14.1 and L14.2 Never worked and long-term unemployed,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","Yes, I did",Clwyd North,Conwy
35,.732853984,30-Nov-2025 10:47:18.28,30-Nov-2025 11:05:56.23,1,Very interested,Fairly interested,Fairly interested,9,Reform UK,,,At least it’s something new and they can’t make a worse mess than anyone else,1,9,10 – Very strongly,0 – Not at all,83,Male,C1,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A printed copy of a newspaper,English / Welsh / Scottish / Northern Irish / British,Yes - Methodist,Retired,L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£30,000 to £34,999 per year","£20,000 to £24,999 per year","Yes, I did",Llanelli,Carmarthenshire
36,.725615704,7-Dec-2025 16:28:17.81,7-Dec-2025 16:34:36.64,1,Not very interested,Fairly interested,Not very interested,10 – Absolutely certain to vote,Welsh Labour,,,,1,7,10 – Very strongly,0 – Not at all,64,Female,C2,Recognised trade apprenticeship completed,Television,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L7: Intermediate occupations,L7 Intermediate occupations,"£25,000 to £29,999 per year","£10,000 to £14,999 per year","Yes, I did",Blaenau Gwent and Rhymney,Caerphilly
37,.436256631,26-Nov-2025 22:01:20.43,26-Nov-2025 22:08:03.29,1,Not very interested,Not very interested,Not very interested,10 – Absolutely certain to vote,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,5,0 – Not at all,10 – Very strongly,47,Female,D,University diploma,None of the above,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working full time (30 or more hours per week),L6: Higher supervisory occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£20,000 to £24,999 per year","£15,000 to £19,999 per year","No, I did not",Ceredigion Preseli,Pembrokeshire
38,1.209552517,1-Dec-2025 20:04:08.29,1-Dec-2025 20:13:47.58,1,Not very interested,Not very interested,Fairly interested,8,,,,,1,3,7,0 – Not at all,48,Male,B,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working full time (30 or more hours per week),L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£60,000 to £69,999 per year","£60,000 to £69,999 per year","Yes, I did",Gower,Swansea
39,.334077897,28-Nov-2025 22:14:57.29,28-Nov-2025 22:51:29.16,1,Not very interested,Not very interested,Not very interested,10 – Absolutely certain to vote,Reform UK,,,At least it’s something new and they can’t make a worse mess than anyone else,1,10 – Very strongly,5,10 – Very strongly,60,Female,E,No formal qualifications,None of the above,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Not working,L13: Routine occupations,L13 Routine occupations,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","Yes, I did",Gower,Swansea
40,1.19121251,8-Dec-2025 17:41:29.87,8-Dec-2025 18:12:04.14,1,Very interested,Not very interested,Very interested,10 – Absolutely certain to vote,Welsh Conservative,,,,1,10 – Very strongly,4,7,49,Male,D,"CSE grade 1, GCE O level, GCSE, School Certificate",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,Yes - Roman Catholic,Working full time (30 or more hours per week),L6: Higher supervisory occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£60,000 to £69,999 per year","£60,000 to £69,999 per year","Yes, I did",Newport East,Newport
41,.437668037,27-Nov-2025 10:57:11.20,27-Nov-2025 11:08:57.12,1,Fairly interested,Not very interested,Fairly interested,10 – Absolutely certain to vote,Welsh Conservative,,,,1,8,5,8,79,Female,C1,GCE A level or Higher Certificate,Radio,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L9: Own account workers,L8 and L9 Small employers and own account workers,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","Yes, I did","Brecon, Radnor and Cwm Tawe",Powys
42,.422072906,1-Dec-2025 10:17:25.22,1-Dec-2025 10:29:20.70,1,Fairly interested,Fairly interested,Fairly interested,8,Don't know,,,,1,7,0 – Not at all,0 – Not at all,41,Female,C1,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",A news website not associated with a newspaper,Any other White background,"No, I do not regard myself as belonging to any particular religion.",Working part time (8-29 hours a week),L7: Intermediate occupations,L7 Intermediate occupations,"£35,000 to £39,999 per year","£20,000 to £24,999 per year","Yes, I did",Swansea West,Swansea
43,.278649793,30-Nov-2025 11:13:42.70,30-Nov-2025 11:31:44.40,1,Very interested,Very interested,Very interested,10 – Absolutely certain to vote,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,10 – Very strongly,10 – Very strongly,10 – Very strongly,90,Male,B,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Methodist,Retired,L2: Higher managerial and administrative occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£60,000 to £69,999 per year","£50,000 to £59,999 per year","Yes, I did",Ceredigion Preseli,Ceredigion
44,.643499719,2-Dec-2025 10:07:41.86,2-Dec-2025 10:21:21.63,1,Very interested,Not very interested,Fairly interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,5,10 – Very strongly,0 – Not at all,68,Female,E,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L10: Lower supervisory occupations,L10 and L11 Lower supervisory and technical occupations,"£20,000 to £24,999 per year","£25,000 to £29,999 per year","Yes, I did",Alyn and Deeside,Flintshire
45,1.690759928,1-Dec-2025 19:05:27.63,1-Dec-2025 19:21:09.03,1,Fairly interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Wales Green,,,,1,7,7,0 – Not at all,42,Male,C1,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",A news website not associated with a newspaper,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working full time (30 or more hours per week),L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£70,000 to £99,999 per year","£35,000 to £39,999 per year","Yes, I did",Merthyr Tydfil and Aberdare,"Rhondda, Cynon, Taff"
46,1.661938857,2-Dec-2025 19:19:58.44,2-Dec-2025 21:42:17.28,1,Fairly interested,Not very interested,Fairly interested,9,Welsh Liberal Democrat,,,,1,10 – Very strongly,10 – Very strongly,0 – Not at all,64,Female,C1,"CSE grade 1, GCE O level, GCSE, School Certificate",Radio,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Working part time (8-29 hours a week),L7: Intermediate occupations,L7 Intermediate occupations,Prefer not to answer,Prefer not to answer,"No, I did not",Swansea West,Swansea
47,.557626132,10-Dec-2025 11:09:27.06,10-Dec-2025 11:22:56.93,1,Very interested,Very interested,Fairly interested,10 – Absolutely certain to vote,Welsh Conservative,,,,1,9,7,0 – Not at all,79,Male,A,University diploma,A printed copy of a newspaper,English / Welsh / Scottish / Northern Irish / British,Yes - United Reformed Church,Retired,L14: Never worked and long-term unemployed,L14.1 and L14.2 Never worked and long-term unemployed,"£60,000 to £69,999 per year","£45,000 to £49,999 per year","Yes, I did",Swansea West,Swansea
48,1.555512739,28-Nov-2025 12:09:06.27,28-Nov-2025 12:23:47.38,1,Not at all interested,Not at all interested,Not at all interested,0 – Certain NOT to vote,Would not vote,,,,1,6,10 – Very strongly,0 – Not at all,55,Female,D,"CSE grade 1, GCE O level, GCSE, School Certificate",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Working full time (30 or more hours per week),L9: Own account workers,L8 and L9 Small employers and own account workers,"£50,000 to £59,999 per year","£45,000 to £49,999 per year","No, I did not",Cardiff West,Cardiff
